datetime,accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[rad/s],gyroY[rad/s],gyroZ[rad/s],angleX[rad],angleY[rad],angleZ[rad],step
2019/09/12 18:08:18.793,   0.54809999,  -2.78269982,  -1.95299995,   1.02503192,   1.20706975,  -0.06108652,   0.08104419,   0.12472934,  -1.31577170,    1
2019/09/12 18:08:18.809,   0.62199998,  -1.72289991,  -1.85679996,  -0.26389378,   1.37200332,  -0.23090705,   0.06088449,   0.14855754,  -1.33609474,    1
2019/09/12 18:08:18.829,   0.81959999,  -1.49769998,  -0.47819999,  -1.12154853,   1.88513017,  -0.02932153,   0.08208787,   0.16842031,  -1.34501827,    1
2019/09/12 18:08:18.850,   0.24640000,  -2.26499987,   0.60049999,  -0.92973691,   2.20400167,   0.27122417,   0.10413869,   0.20652041,  -1.33394456,    1
2019/09/12 18:08:18.869,   1.06289995,  -0.79020000,   1.76379991,  -0.22846361,   2.16857147,   0.56810468,   0.12586969,   0.23964879,  -1.31899500,    1
2019/09/12 18:08:18.890,   1.35339999,  -1.10079992,   1.12249994,   0.49602258,   1.84236956,   0.67439520,   0.12720630,   0.28459060,  -1.28847432,    1
2019/09/12 18:08:18.910,   1.42250001,  -1.29779994,   0.16049999,   0.91263264,   1.50272846,   0.31887165,   0.12610625,   0.30905724,  -1.26508451,    1
2019/09/12 18:08:18.929,   1.03759992,  -0.51489997,  -0.66999996,   0.89919364,   1.41720736,  -0.13072516,   0.10664047,   0.33910832,  -1.25642133,    1
2019/09/12 18:08:18.949,   0.45739999,  -0.34770000,  -0.30640000,   0.68050385,   2.32006621,  -0.26389378,   0.09451587,   0.36332989,  -1.26015735,    1
2019/09/12 18:08:18.969,   0.50580001,  -0.47200000,   0.53700000,   0.88208938,   2.54608631,  -0.31154126,   0.08370499,   0.40879515,  -1.28203070,    1
2019/09/12 18:08:18.990,   0.69919997,  -0.32359999,   0.90840000,   1.18019164,   2.60717273,  -0.36651915,   0.07269860,   0.44927609,  -1.29939663,    1
2019/09/12 18:08:19.010,  -0.18009999,   0.06160000,   0.71239996,   1.43797672,   2.64382482,  -0.25778514,   0.05479660,   0.50021154,  -1.31664491,    1
2019/09/12 18:08:19.030,  -0.76339996,   0.63879997,   0.83749998,   1.66155338,   2.63649440,  -0.10140363,   0.02637311,   0.55391848,  -1.33868957,    1
2019/09/12 18:08:19.049,  -0.18930000,   0.59119999,   0.87790000,   1.83870435,   2.71224165,   0.05619960,  -0.00071381,   0.60622573,  -1.36289799,    1
2019/09/12 18:08:19.069,   0.45069999,   0.27390000,   0.00700000,   1.71164441,   2.03295946,   0.11972959,  -0.03438154,   0.65702695,  -1.39997637,    1
2019/09/12 18:08:19.089,  -0.58779997,   1.10479999,  -1.22070003,   1.19363070,   1.52594137,   0.08796459,  -0.06293806,   0.69848239,  -1.47010708,    1
2019/09/12 18:08:19.111,  -0.21079999,   1.09700000,  -2.30149984,   0.49480084,   1.20829141,   0.10506882,  -0.09612420,   0.74869925,  -1.51800728,    1
2019/09/12 18:08:19.130,  -0.81860000,   0.87489998,  -1.19910002,  -0.22357668,   0.98715824,   0.24801129,  -0.10489724,   0.77337676,  -1.58786464,    1
2019/09/12 18:08:19.149,  -0.29130000,   0.19000000,   0.15410000,  -0.58032197,   0.75625116,   0.24556783,  -0.10676382,   0.79330277,  -1.65343547,    1
2019/09/12 18:08:19.169,  -0.48859999,  -0.00150000,  -0.38020000,  -0.55344391,   0.49846604,   0.03909538,  -0.10224286,   0.80720317,  -1.67400289,    1
2019/09/12 18:08:19.189,  -0.64760000,   0.52709997,  -0.77910000,  -0.39950585,   0.62674773,  -0.13927728,  -0.10030539,   0.82592720,  -1.63033271,    1
2019/09/12 18:08:19.211,  -1.58319998,   0.98089999,   0.03850000,  -0.21380283,   0.91629785,  -0.07086037,  -0.09292851,   0.83808476,  -1.59416175,    1
2019/09/12 18:08:19.229,  -0.97129995,   0.72950000,   0.43509999,   0.00733038,   0.75502944,   0.04764749,  -0.09458729,   0.85879815,  -1.52279878,    1
2019/09/12 18:08:19.249,  -0.29899999,   0.91700000,  -0.74779999,   0.11362094,   0.48136181,  -0.05131268,  -0.09547871,   0.87384802,  -1.47591484,    1
